CDU_ID,GEO_CODE,GEO_LABEL,Deprivation,Households_not_deprived,Total_methods_travel ,Work_from_home,Public_transport,Car_or_van,Other_travel
9937,E02000001,City of London 001,4385,1973,4785,701,1405,135,2544
9938,E02000002,Barking and Dagenham 001,2713,734,2484,159,959,1076,290
9939,E02000003,Barking and Dagenham 002,3834,1335,4539,313,1963,1778,485
9940,E02000004,Barking and Dagenham 003,2318,857,2858,182,968,1322,386
9941,E02000005,Barking and Dagenham 004,3183,953,3595,226,1430,1503,436
9942,E02000007,Barking and Dagenham 006,3441,909,3322,180,1424,1310,408
9943,E02000008,Barking and Dagenham 007,4591,1189,4558,250,1900,1853,555
9944,E02000009,Barking and Dagenham 008,3212,909,3499,225,1550,1358,366
9945,E02000010,Barking and Dagenham 009,3292,848,3435,175,1564,1300,396
9946,E02000011,Barking and Dagenham 010,2289,770,2781,191,1265,986,339
9947,E02000012,Barking and Dagenham 011,3258,1221,4266,316,1935,1563,452
9948,E02000013,Barking and Dagenham 012,3125,836,3317,186,1433,1298,400
9949,E02000014,Barking and Dagenham 013,3531,892,3797,224,1714,1356,503
9950,E02000015,Barking and Dagenham 014,3170,767,2892,158,1317,1032,385
9951,E02000016,Barking and Dagenham 015,2934,668,3253,188,2130,614,321
9952,E02000017,Barking and Dagenham 016,2729,839,3761,268,2038,1030,425
9953,E02000018,Barking and Dagenham 017,3326,854,3433,202,1595,1273,363
9954,E02000019,Barking and Dagenham 018,3010,877,3445,180,1495,1325,445
9955,E02000020,Barking and Dagenham 019,3460,965,3651,264,1802,1148,437
9956,E02000021,Barking and Dagenham 020,2949,872,3329,235,1400,1264,430
9957,E02000022,Barking and Dagenham 021,3261,670,3009,218,1736,711,344
9958,E02000023,Barking and Dagenham 022,2431,617,2409,178,1188,788,255
9959,E02000024,Barnet 001,4110,2193,5238,773,1788,1954,723
9960,E02000025,Barnet 002,3622,1652,4090,488,1487,1701,414
9961,E02000026,Barnet 003,2496,1242,3050,346,986,1438,280
9962,E02000027,Barnet 004,3705,1393,4206,410,1421,1832,543
9963,E02000028,Barnet 005,2473,1264,3216,433,1142,1343,298
9964,E02000029,Barnet 006,3513,1566,4214,402,1543,1804,465
9965,E02000030,Barnet 007,3410,1716,4221,733,1126,2015,347
9966,E02000031,Barnet 008,2817,1428,3548,513,1495,1229,311
9967,E02000032,Barnet 009,2742,1375,3838,423,1346,1700,369
9968,E02000033,Barnet 010,3317,1391,4082,419,1637,1637,389
9969,E02000034,Barnet 011,3403,1561,4217,506,1566,1683,462
9970,E02000035,Barnet 012,3381,1539,4103,577,1894,1257,375
9971,E02000036,Barnet 013,3942,1671,4980,587,1749,2196,448
9972,E02000037,Barnet 014,3397,1493,4441,628,1364,2016,433
9973,E02000038,Barnet 015,4049,1913,5358,599,2384,1829,546
9974,E02000039,Barnet 016,2485,1333,3360,571,1128,1362,299
9975,E02000040,Barnet 017,2649,1146,3170,461,1090,1198,421
9976,E02000041,Barnet 018,3120,1216,4158,512,1662,1489,495
9977,E02000042,Barnet 019,4421,1900,5573,615,2738,1525,695
9978,E02000043,Barnet 020,2693,1505,3787,531,1711,1191,354
9979,E02000044,Barnet 021,2862,975,3631,319,1633,1307,372
9980,E02000045,Barnet 022,4168,1682,5106,525,2415,1582,584
9981,E02000046,Barnet 023,2860,1307,3968,458,2168,929,413
9982,E02000047,Barnet 024,4036,1106,4977,406,2412,1618,541
9983,E02000048,Barnet 025,3784,1937,4888,721,1778,1967,422
9984,E02000049,Barnet 026,3028,737,3222,239,1576,1053,354
9985,E02000050,Barnet 027,3853,1598,5016,473,2359,1554,630
9986,E02000051,Barnet 028,3537,1621,4331,757,1812,1334,428
9987,E02000052,Barnet 029,4163,2003,5470,545,3070,1253,602
9988,E02000053,Barnet 030,3244,909,4170,334,2115,1226,495
9989,E02000054,Barnet 031,2774,1139,3646,453,1523,1255,415
9990,E02000055,Barnet 032,4179,1612,5327,682,2444,1503,698
9991,E02000056,Barnet 033,3390,2087,4464,943,1603,1481,437
9992,E02000057,Barnet 034,2460,1061,3437,466,1396,1086,489
9993,E02000058,Barnet 035,3961,2015,5039,891,2236,1387,525
9994,E02000059,Barnet 036,3990,1131,4983,429,2280,1613,661
9995,E02000060,Barnet 037,3400,1428,4601,759,1937,1220,685
9996,E02000061,Barnet 038,3172,1436,4227,715,2279,860,373
9997,E02000062,Barnet 039,2357,679,2976,273,1505,761,437
9998,E02000063,Barnet 040,2503,930,3246,331,1661,900,354
9999,E02000064,Barnet 041,2450,874,2895,365,1550,652,328
10000,E02000065,Bexley 001,2728,1059,3280,305,1670,1058,247
10001,E02000066,Bexley 002,3795,1144,4046,276,2081,1310,379
10002,E02000067,Bexley 003,3580,1267,4080,275,1622,1704,479
10003,E02000068,Bexley 004,3041,1047,3274,233,1372,1269,400
10004,E02000069,Bexley 005,2495,935,2804,211,895,1352,346
10005,E02000070,Bexley 006,3177,1285,3822,294,1215,1882,431
10006,E02000071,Bexley 007,2782,1142,3550,224,1065,1771,490
10007,E02000072,Bexley 008,4722,1382,4696,299,1820,1955,622
10008,E02000073,Bexley 009,3968,1811,5150,363,1714,2525,548
10009,E02000074,Bexley 010,3185,1012,3382,218,1050,1659,455
10010,E02000075,Bexley 011,3172,1421,3951,342,1296,1835,478
10011,E02000077,Bexley 013,2870,1181,3894,277,1401,1746,470
10012,E02000078,Bexley 014,3036,1428,4019,267,1338,1981,433
10013,E02000079,Bexley 015,3267,1502,3938,364,1520,1528,526
10014,E02000080,Bexley 016,3702,1509,4591,360,1685,2027,519
10015,E02000081,Bexley 017,3106,1246,3530,289,1141,1621,479
10016,E02000082,Bexley 018,3356,1579,4633,349,1580,2209,495
10017,E02000083,Bexley 019,3985,1635,4628,348,1443,2271,566
10018,E02000084,Bexley 020,4209,2051,5456,511,1717,2589,639
10019,E02000085,Bexley 021,3084,1382,4027,311,1201,1988,527
10020,E02000086,Bexley 022,2789,1380,3833,289,1162,1900,482
10021,E02000087,Bexley 023,3142,1626,3714,388,1295,1651,380
10022,E02000088,Bexley 024,2984,1424,3968,317,1333,1872,446
10023,E02000089,Bexley 025,2899,1447,3843,329,1331,1747,436
10024,E02000090,Bexley 026,3962,1815,4284,376,1811,1559,538
10025,E02000091,Bexley 027,4279,1841,4508,461,1667,1787,593
10026,E02000092,Bexley 028,2722,956,2809,215,846,1391,357
10027,E02000093,Brent 001,3408,1215,5240,383,2346,1967,544
10028,E02000094,Brent 002,2738,949,4108,324,1760,1570,454
10029,E02000095,Brent 003,3117,1018,4609,383,2161,1636,429
10030,E02000096,Brent 004,2518,1119,3825,474,1553,1478,320
10031,E02000097,Brent 005,2926,946,4103,319,1725,1667,392
10032,E02000098,Brent 006,2652,959,3725,391,1792,1266,276
10033,E02000099,Brent 007,2782,976,4094,381,2190,1203,320
10034,E02000100,Brent 008,2696,1122,4223,415,1549,1560,699
10035,E02000101,Brent 009,3312,991,3971,362,1975,1254,380
10036,E02000102,Brent 010,2496,584,3161,218,1492,1045,406
10037,E02000103,Brent 011,2994,890,3647,342,1711,1168,426
10038,E02000104,Brent 012,2213,729,3114,285,1470,994,365
10039,E02000105,Brent 013,2997,877,4349,361,2267,1349,372
10040,E02000106,Brent 014,3449,886,4515,318,2449,1196,552
10041,E02000107,Brent 015,4107,1339,5721,552,3538,974,657
10042,E02000108,Brent 016,2147,654,3107,261,1635,943,268
10043,E02000109,Brent 017,3264,959,4714,334,2502,1324,554
10044,E02000110,Brent 018,2969,1099,4359,384,2569,848,558
10045,E02000111,Brent 019,2914,713,4747,385,2438,1268,656
10046,E02000112,Brent 020,2892,738,4735,314,2628,1129,664
10047,E02000113,Brent 021,3306,635,3411,228,1625,1085,473
10048,E02000114,Brent 022,3528,1142,4969,388,3163,842,576
10049,E02000115,Brent 023,3911,1369,4749,468,3016,683,582
10050,E02000116,Brent 024,3072,686,3778,292,2417,609,460
10051,E02000117,Brent 025,4557,952,4591,302,2476,1099,714
10052,E02000118,Brent 026,2849,660,4449,288,1971,1371,819
10053,E02000119,Brent 027,2597,576,2533,185,1293,725,330
10054,E02000120,Brent 028,4277,1623,5513,566,3414,634,899
10055,E02000121,Brent 029,2623,644,4452,313,2176,1118,845
10056,E02000122,Brent 030,3047,1303,4187,607,2069,869,642
10057,E02000123,Brent 031,5884,1354,6608,594,3805,1202,1007
10058,E02000124,Brent 032,4334,1887,5883,726,3400,752,1005
10059,E02000125,Brent 033,4329,1751,5889,672,3152,1072,993
10060,E02000126,Brent 034,3381,740,3213,243,1977,503,490
10061,E02000127,Bromley 001,3675,1217,3659,280,1501,1490,388
10062,E02000128,Bromley 002,3006,1522,3748,394,1365,1547,442
10063,E02000130,Bromley 004,3464,1624,4224,443,2234,1046,501
10064,E02000131,Bromley 005,4589,1975,4993,456,3088,899,550
10065,E02000132,Bromley 006,4668,2383,4910,392,2873,1237,408
10066,E02000133,Bromley 007,3961,2403,4692,699,2115,1592,286
10067,E02000134,Bromley 008,5106,2538,5821,561,2759,1621,880
10068,E02000135,Bromley 009,4402,1369,4236,314,2314,1059,549
10069,E02000136,Bromley 010,2207,926,2367,299,717,1129,222
10070,E02000137,Bromley 011,3637,2036,4134,449,1889,1352,444
10071,E02000138,Bromley 012,4057,2314,4285,495,2146,1272,372
10072,E02000139,Bromley 013,3202,1696,4119,385,2132,1176,426
10073,E02000140,Bromley 014,3301,1009,3232,233,1064,1470,465
10074,E02000141,Bromley 015,3055,1453,3685,304,1801,1138,442
10075,E02000142,Bromley 016,3283,1857,4184,505,1656,1393,630
10076,E02000144,Bromley 018,3831,2065,4751,498,2201,1336,716
10077,E02000145,Bromley 019,3376,1117,3317,275,1151,1440,451
10078,E02000146,Bromley 020,3508,1822,4335,453,1797,1518,567
10079,E02000147,Bromley 021,3183,1812,3780,485,1365,1540,390
10080,E02000148,Bromley 022,2633,1427,3139,404,1287,1167,281
10081,E02000149,Bromley 023,3249,1252,3608,287,1236,1648,437
10082,E02000150,Bromley 024,3109,1648,4078,411,1508,1734,425
10083,E02000151,Bromley 025,2994,1682,3580,390,1606,1257,327
10084,E02000152,Bromley 026,2623,1008,2896,241,976,1325,354
10085,E02000153,Bromley 027,2860,1584,3871,434,1345,1662,430
10086,E02000154,Bromley 028,3293,1658,4005,443,1563,1506,493
10087,E02000155,Bromley 029,3057,1174,3241,272,1028,1522,419
10088,E02000156,Bromley 030,4756,2501,5862,703,2075,2393,691
10089,E02000157,Bromley 031,3300,1734,3714,374,1430,1514,396
10090,E02000158,Bromley 032,2952,1254,3130,284,1066,1407,373
10091,E02000159,Bromley 033,2749,1469,3223,487,930,1491,315
10092,E02000160,Bromley 034,2968,1584,3909,520,1207,1779,403
10093,E02000161,Bromley 035,3369,1847,4198,395,1595,1770,438
10094,E02000162,Bromley 036,2889,1262,3072,326,854,1473,419
10095,E02000163,Bromley 037,3072,1667,3818,512,1265,1683,358
10096,E02000165,Bromley 039,2691,1424,3953,491,716,2379,367
10097,E02000166,Camden 001,3537,1599,3987,713,1828,562,884
10098,E02000167,Camden 002,3629,2059,4398,979,2148,545,726
10099,E02000168,Camden 003,3535,1553,4502,713,2332,381,1076
10100,E02000169,Camden 004,2942,1730,3705,794,1812,591,508
10101,E02000170,Camden 005,3685,1664,5023,580,3172,594,677
10102,E02000171,Camden 006,3502,1574,4272,664,2207,439,962
10103,E02000172,Camden 007,4186,1089,4247,469,2131,436,1211
10104,E02000173,Camden 008,3569,1668,4375,713,2451,407,804
10105,E02000174,Camden 009,3822,1330,4629,539,2575,370,1145
10106,E02000175,Camden 010,4277,1832,5525,483,3911,490,641
10107,E02000176,Camden 011,3261,1696,3976,623,2400,331,622
10108,E02000177,Camden 012,3865,1257,4128,438,2289,405,996
10109,E02000178,Camden 013,4280,1448,4905,431,3332,475,667
10110,E02000179,Camden 014,2870,1262,3091,465,1688,347,591
10111,E02000180,Camden 015,3394,1232,4025,534,2035,330,1126
10112,E02000181,Camden 016,3657,1953,4855,527,3253,437,638
10113,E02000182,Camden 017,2963,1254,3141,498,1846,336,461
10114,E02000183,Camden 018,3881,1618,4300,775,1828,437,1260
10115,E02000184,Camden 019,3655,1089,3993,442,2164,341,1046
10116,E02000185,Camden 020,3938,1045,3776,428,2313,407,628
10117,E02000186,Camden 021,3099,1036,3631,544,1710,246,1131
10118,E02000187,Camden 022,3290,668,2912,252,1459,259,942
10119,E02000188,Camden 023,3170,741,2983,227,1530,243,983
10120,E02000189,Camden 024,2253,525,2211,264,969,112,866
10121,E02000190,Camden 025,3181,817,2828,358,1153,145,1172
10122,E02000191,Camden 026,2868,941,3114,404,1187,149,1374
10123,E02000192,Camden 027,3375,1010,3484,408,1221,159,1696
10124,E02000193,Camden 028,3850,1285,4152,628,1549,159,1816
10125,E02000194,Croydon 001,4099,1808,4584,487,2441,1141,515
10126,E02000195,Croydon 002,3446,1554,4482,452,1933,1616,481
10127,E02000196,Croydon 003,2553,928,3402,295,1675,1068,364
10128,E02000197,Croydon 004,3403,1293,4162,345,2165,1228,424
10129,E02000198,Croydon 005,3338,1183,3645,281,1846,1125,393
10130,E02000199,Croydon 006,3172,1337,3944,325,2013,1192,414
10131,E02000200,Croydon 007,3811,1469,4072,331,2241,1122,378
10132,E02000201,Croydon 008,3814,1192,3767,338,2050,1026,353
10133,E02000202,Croydon 009,2981,1083,3972,290,1952,1251,479
10134,E02000203,Croydon 010,3062,951,3498,269,1846,944,439
10135,E02000204,Croydon 011,3146,1083,4125,314,1972,1299,540
10136,E02000206,Croydon 013,4009,1241,4169,306,2136,1181,546
10137,E02000207,Croydon 014,3592,1306,4056,326,1952,1287,491
10138,E02000208,Croydon 015,3821,1097,4180,330,1943,1120,787
10139,E02000209,Croydon 016,2919,992,3710,251,1641,1289,529
10140,E02000210,Croydon 017,3371,1549,4341,320,2113,1265,643
10141,E02000211,Croydon 018,3279,1555,4174,403,1321,2039,411
10142,E02000212,Croydon 019,2977,907,3749,289,1654,1014,792
10143,E02000213,Croydon 020,4160,1097,4276,377,2205,855,839
